type    l   m      coeff
  A     0   0    3.65948096e+03
  A     1   0    4.24087256e+03
  A     1   1   -1.39240781e+04
  B     1   1    1.73435508e+04
  A     2   0    2.41549634e+03
  A     2   1   -3.32005322e+03
  B     2   1    3.44202954e+03
  A     2   2   -1.74300781e+03
  B     2   2   -1.36503528e+03
  A     3   0    2.19003113e+02
  A     3   1    4.59946930e+02
  B     3   1   -1.66350549e+03
  A     3   2    4.81865959e+01
  B     3   2   -8.05423279e+01
  A     3   3    1.31387749e+01
  B     3   3   -5.62535439e+01
  A     4   0   -1.70536584e+03
  A     4   1   -1.91319077e+02
  B     4   1   -3.09671478e+02
  A     4   2    3.56243401e+01
  B     4   2   -5.41956520e+01
  A     4   3   -4.39792424e-01
  B     4   3    3.35582733e+01
  A     4   4    6.60156071e-01
  B     4   4   -1.17023773e+01
  A     5   0   -5.86751526e+02
  A     5   1    1.23216652e+02
  B     5   1    3.23039978e+02
  A     5   2   -2.67573509e+01
  B     5   2    2.25116673e+01
  A     5   3    1.39387035e+00
  B     5   3    1.21267557e+01
  A     5   4   -1.47058260e+00
  B     5   4    2.73033881e+00
  A     5   5    8.65993917e-01
  B     5   5    8.41523945e-01
  A     6   0   -2.84132462e+01
  A     6   1    2.64032135e+01
  B     6   1   -1.35888504e+02
  A     6   2   -8.86725235e+00
  B     6   2    1.17632217e+01
  A     6   3    2.87735820e+00
  B     6   3    4.64182317e-01
  A     6   4    2.39124503e-02
  B     6   4   -3.00196260e-01
  A     6   5   -3.44851047e-01
  B     6   5   -1.60321966e-01
  A     6   6    7.61219412e-02
  B     6   6    2.36638132e-02
  A     7   0    2.61929504e+02
  A     7   1    9.19967957e+01
  B     7   1   -9.93369370e+01
  A     7   2    1.88271732e+01
  B     7   2   -3.35663319e+00
  A     7   3    1.47120070e+00
  B     7   3   -2.22455907e+00
  A     7   4   -3.10035706e-01
  B     7   4    6.07389249e-02
  A     7   5    1.32632451e-02
  B     7   5    4.98597361e-02
  A     7   6    5.85385971e-03
  B     7   6   -1.01407710e-02
  A     7   7   -2.78899306e-03
  B     7   7    6.16501458e-03
  A     8   0   -2.06144577e+02
  A     8   1    1.29210342e+02
  B     8   1   -1.04002082e+00
  A     8   2    4.03588390e+00
  B     8   2    9.55744743e+00
  A     8   3   -4.48624119e-02
  B     8   3    1.44994402e+00
  A     8   4   -1.69581637e-01
  B     8   4   -4.76556122e-02
  A     8   5   -3.09756175e-02
  B     8   5   -7.97692034e-03
  A     8   6    3.59409628e-03
  B     8   6    1.09338015e-03
  A     8   7   -3.30212293e-04
  B     8   7   -1.79594930e-03
  A     8   8   -4.86266363e-05
  B     8   8    1.68715851e-04
